Franklin,O'Day, Sarah,2,12.77,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Franklin,O'Day, Sarah,2,13.23,Grizzly Invitational,4/2/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.4,Carius/Gregory Invitational 2022,5/12/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.42,Rose-Hulman Twilight Invitational,4/22/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.43,Carius/Gregory Invitational 2022,5/12/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.45,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.49,Emory Final Qualifier 2022,5/18/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.57,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.59,Emory Final Qualifier 2022,5/18/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.6,2022 Billy Hayes Invitational,5/6/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,12.71,2022 Billy Hayes Invitational,5/6/2022,100 Meters,Run
Hanover,Logsdon, Aimsley,3,12.76,Grizzly Invitational,4/2/2022,100 Meters,Run
Hanover,Logsdon, Aimsley,3,13.89,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Hanover,Logsdon, Aimsley,3,14.21,'22 Rose-Hulman Early Bird Invitational,3/19/2022,100 Meters,Run
Hanover,Martin, Zaleeya,3,14.38,Grizzly Invitational,4/2/2022,100 Meters,Run
Manchester,Smith, Brandi,3,13.41,Indiana DIII Track and Field Championships,4/16/2022,100 Meters,Run
Manchester,Stanko, Adelle,3,13.41,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Manchester,Smith, Brandi,3,13.46,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Manchester,Stanko, Adelle,3,13.87,Grizzly Invitational,4/2/2022,100 Meters,Run
Manchester,Stanko, Adelle,3,13.99,Grizzly Invitational,4/2/2022,100 Meters,Run
Manchester,Ernstes, Hilary,3,14.39,Pioneer Invitational,3/18/2022,100 Meters,Run
Manchester,Smith, Brandi,1,14.67,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Manchester,Smith, Brandi,3,15.11,Pioneer Invitational,3/18/2022,100 Meters,Run
Mount St. Joseph,Keith, Hannah,1,13.5,MSJ April Invitational,4/23/2022,100 Meters,Run
Mount St. Joseph,Barrett, Victoria,1,13.75,MSJ March Invitational,3/19/2022,100 Meters,Run
Mount St. Joseph,Barrett, Victoria,1,13.92,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Mount St. Joseph,Barrett, Victoria,1,14.17,Hanover Invitational 2022,3/26/2022,100 Meters,Run
Mount St. Joseph,Barrett, Victoria,1,14.21,MSJ April Invitational,4/23/2022,100 Meters,Run
Mount St. Joseph,Goerler, Gabrielle,1,14.28,MSJ March Invitational,3/19/2022,100 Meters,Run
Mount St. Joseph,Goerler, Gabrielle,1,16.54,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Mount St. Joseph,Goerler, Gabrielle,1,17.02,MSJ April Invitational,4/23/2022,100 Meters,Run
Mount St. Joseph,Keith, Hannah,1,17.88,Grizzly Invitational,4/2/2022,100 Meters,Run
Rose-Hulman,Agustin, Katrina,3,12.77,Rose-Hulman Twilight Invitational,4/22/2022,100 Meters,Run
Rose-Hulman,Agustin, Katrina,3,12.84,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Rose-Hulman,Agustin, Katrina,3,12.85,2022 HCAC Outdoor Track & Field Championships,4/29/2022,100 Meters,Run
Rose-Hulman,Rogers, Tina,3,13.43,2022 Big Blue Alumni Invite,4/2/2022,100 Meters,Run
Transylvania,Rowe, Abbey,1,14.47,Grizzly Invitational,4/2/2022,100 Meters,Run
Transylvania,Rowe, Abbey,1,14.91,Grizzly Invitational,4/2/2022,100 Meters,Run
Transylvania,Graves, Carson,1,15.35,Pioneer Invitational,3/18/2022,100 Meters,Run
Transylvania,Graves, Carson,1,15.58,Pioneer Invitational,3/18/2022,100 Meters,Run
Anderson,Loller, Noelle,3,38:00.8,2022 Huntington Invitational,4/14/2022,10000 Meters,Run
Anderson,Loller, Noelle,3,38:28.7,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Anderson,Guthrie, Callie,3,38:57.4,St. Francis Fighting Chance Invite,5/13/2022,10000 Meters,Run
Franklin,Johnson, Janae,2,44:21.4,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Hanover,Medcalf, Brianna,4,38:00.7,Indiana DIII Track and Field Championships,4/16/2022,10000 Meters,Run
Hanover,Thomas, Allie,4,38:35.5,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Hanover,Gerke, Alexis,1,41:47.5,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Manchester,Frost, Fiona,3,40:31.4,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Manchester,Sluys, Sydney,4,43:54.2,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Manchester,Hilliker, Madi,2,45:01.9,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Manchester,Bouwens, Brooke,2,45:47.0,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Rose-Hulman,Johnson, Kaia,4,40:49.4,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Rose-Hulman,Kurfman, Abigail,4,42:53.2,Hanover Invitational 2022,3/26/2022,10000 Meters,Run
Rose-Hulman,Smith, Libby,1,43:36.3,Hanover Invitational 2022,3/26/2022,10000 Meters,Run
Rose-Hulman,Perry, Taryn,1,43:45.1,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Rose-Hulman,Perry, Taryn,4,45:41.5,Hanover Invitational 2022,3/26/2022,10000 Meters,Run
Rose-Hulman,Villa, Danielle,4,46:59.6,2022 HCAC Outdoor Track & Field Championships,4/29/2022,10000 Meters,Run
Rose-Hulman,Agustin, Katrina,4,48:26.5,Hanover Invitational 2022,3/26/2022,10000 Meters,Run
Anderson,Loller, Noelle,4,04:58.7,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Anderson,Gregg, Rebecca,3,04:59.9,2nd Annual Mike Becraft Invitational,4/22/2022,1500 Meters,Run
Anderson,Dyer, Lydia,4,05:09.4,St. Francis Fighting Chance Invite,5/13/2022,1500 Meters,Run
Anderson,Gregg, Rebecca,1,05:14.2,Huntsman Family Invite 2022,4/10/2022,1500 Meters,Run
Anderson,Penick, Emilie,4,05:14.9,2nd Annual Mike Becraft Invitational,4/22/2022,1500 Meters,Run
Anderson,Dyer, Lydia,2,05:31.4,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Anderson,Penick, Emilie,1,05:33.3,2022 Huntington Invitational,4/14/2022,1500 Meters,Run
Anderson,Stewart, Baileigh,2,05:45.1,2022 Huntington Invitational,4/14/2022,1500 Meters,Run
Anderson,Guthrie, Callie,1,05:58.3,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Anderson,Kalli, Sierra,2,06:00.9,2nd Annual Mike Becraft Invitational,4/22/2022,1500 Meters,Run
Anderson,Kalli, Sierra,2,06:37.9,George Glass Invite,4/2/2022,1500 Meters,Run
Anderson,Kalli, Sierra,2,06:51.3,Huntsman Family Invite 2022,4/10/2022,1500 Meters,Run
Anderson,Loller, Noelle,2,07:08.4,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Bluffton,Barnes, Brooke,4,05:44.7,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Bluffton,Barnes, Brooke,2,05:45.8,2022 HCAC Outdoor Track & Field Championships,4/29/2022,1500 Meters,Run
Bluffton,Barnes, Brooke,2,05:49.2,Marv Frye Invitational 2022,4/9/2022,1500 Meters,Run
